,Unnamed: 0,patch,mean_RA,mean_DEC,photoz,masses
193,193,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-310p020-320p025.fits,319.220758702245,20.11253197502808,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-310p020-320p025-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-310p020-320p025_stellar_mass.npy
380,380,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-140p030-150p035.fits,145.00200229218524,31.80017790714304,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-140p030-150p035-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-140p030-150p035_stellar_mass.npy
467,467,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0/sweep-190p030-200p035.fits,194.93198547202286,33.023175755656546,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0-photo-z/sweep-190p030-200p035-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/north/sweep-190p030-200p035_stellar_mass.npy
187,187,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-340m045-350m040.fits,345.07655124996916,-42.51070590462136,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-340m045-350m040-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-340m045-350m040_stellar_mass.npy
530,530,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0/sweep-270p060-280p065.fits,275.09928995100086,62.410578034128754,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0-photo-z/sweep-270p060-280p065-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/north/sweep-270p060-280p065_stellar_mass.npy
272,272,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-110p025-120p030.fits,114.90994917854816,27.44428976474895,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-110p025-120p030-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-110p025-120p030_stellar_mass.npy
162,162,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-000m040-010m035.fits,5.009490609508521,-37.41730231645123,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-000m040-010m035-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-000m040-010m035_stellar_mass.npy
406,406,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-020p025-030p030.fits,25.001489166300544,27.55987476386951,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-020p025-030p030-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-020p025-030p030_stellar_mass.npy
255,255,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-110p030-120p035.fits,114.83910415730664,31.774246361422144,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-110p030-120p035-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-110p030-120p035_stellar_mass.npy
211,211,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-010p010-020p015.fits,15.100786402167563,12.507443902371294,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-010p010-020p015-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-010p010-020p015_stellar_mass.npy
