,patch,mean_RA,mean_DEC,photoz,masses
75,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-270p015-280p020.fits,271.25510030736035,17.97992534991156,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-270p015-280p020-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-270p015-280p020_stellar_mass.npy
76,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-010m045-020m040.fits,15.05447488334321,-42.50281080037755,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-010m045-020m040-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-010m045-020m040_stellar_mass.npy
77,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-200p020-210p025.fits,205.06672467547747,22.459629103029368,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-200p020-210p025-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-200p020-210p025_stellar_mass.npy
78,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-070m030-080m025.fits,75.04167868821077,-27.485766771525288,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-070m030-080m025-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-070m030-080m025_stellar_mass.npy
79,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-130p030-140p035.fits,135.0995862529745,32.143723382477674,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-130p030-140p035-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-130p030-140p035_stellar_mass.npy
80,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-330m015-340m010.fits,334.8259048037589,-12.339224625982306,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-330m015-340m010-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-330m015-340m010_stellar_mass.npy
81,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-150m020-160m015.fits,151.6648564571889,-18.580506109043306,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-150m020-160m015-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-150m020-160m015_stellar_mass.npy
82,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-000m025-010m020.fits,8.313796902092825,-22.972161250057972,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-000m025-010m020-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-000m025-010m020_stellar_mass.npy
83,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-330m055-340m050.fits,335.22065466785733,-52.48590531749452,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-330m055-340m050-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-330m055-340m050_stellar_mass.npy
84,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-030p015-040p020.fits,35.0453153040393,17.542004293574834,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-030p015-040p020-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-030p015-040p020_stellar_mass.npy
